"file","query","rel","docno"
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.0.out","EA5","unjudged",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.0.out","EA5","yes",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.0.out","EA6","unjudged",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.0.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA1","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA1","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA2","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA4","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA5","unjudged",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA5","yes",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA6","unjudged",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.1.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA1","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA1","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA2","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA2","unjudged",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA4","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA5","unjudged",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA5","yes",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA6","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA6","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.2.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA1","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA1","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA2","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA4","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA5","unjudged",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA5","yes",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA6","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.3.out","EA6","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA2","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA2","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA4","unjudged",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA4","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA5","unjudged",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA5","yes",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA6","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.4.out","EA6","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA2","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA2","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA4","unjudged",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA4","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA5","unjudged",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA5","yes",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA6","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.5.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA2","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA4","unjudged",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA4","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA5","unjudged",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA5","yes",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA6","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.6.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA2","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA4","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA5","unjudged",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA5","yes",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA6","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.7.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA2","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA4","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA5","unjudged",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA5","yes",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA6","unjudged",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.8.out","EA6","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA2","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA4","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA5","unjudged",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA5","yes",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA6","unjudged",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=0.9.out","EA6","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA2","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA4","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA5","unjudged",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA5","yes",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA6","unjudged",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=20:fbOrigWeight=1.0.out","EA6","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.0.out","EA1","unjudged",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.0.out","EA1","yes",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.0.out","EA2","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.0.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.0.out","EA4","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.0.out","EA5","unjudged",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.0.out","EA5","yes",5
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.0.out","EA6","unjudged",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.0.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.1.out","EA1","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.1.out","EA1","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.1.out","EA2","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.1.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.1.out","EA4","unjudged",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.1.out","EA4","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.1.out","EA5","unjudged",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.1.out","EA5","yes",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.1.out","EA6","unjudged",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.1.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA1","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA1","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA2","unjudged",9
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA4","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA4","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA5","unjudged",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA5","yes",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA6","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA6","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.2.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA2","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA4","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA4","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA5","unjudged",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA5","yes",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA6","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.3.out","EA6","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA2","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA2","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA4","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA5","unjudged",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA5","yes",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA6","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.4.out","EA6","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA2","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA2","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA4","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA5","unjudged",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA5","yes",8
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA6","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.5.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA2","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA4","yes",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA5","unjudged",3
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA5","yes",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA6","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA6","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.6.out","EA6","yes",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.7.out","EA1","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.7.out","EA1","yes",4
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.7.out","EA2","no",2
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.7.out","EA2","unjudged",7
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.7.out","EA2","yes",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.7.out","EA3","unjudged",10
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.7.out","EA4","no",1
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.7.out","EA4","unjudged",6
"./output/rm3/train/short/mu=5000:fbTerms=10:fbDocs=50:fbOrigWeight=0.7.out","EA4","yes",3
